Date,news sentiment,number of news,positive news,negative news,neutral news,comments sentiment,number of comments,positive comments,negative comments,neutral comments,price change,volume change
2019-06-25,0.0738701447464334,97,21,9,68,0.09045694350841357,324,167,51,109,-0.49,2325100.0
2019-06-26,0.08413939818351583,119,42,8,70,0.08018090015928013,385,193,71,127,3.57,-2167500.0
2019-06-27,0.06942401658865074,82,26,7,49,0.06642274396420715,314,137,55,125,0.62,511700.0
2019-06-28,0.049271833239224544,92,32,19,41,0.10066190250471457,211,107,39,68,3.71,1362000.0
2019-06-29,0.0030393217893217883,28,6,6,16,0.11664592680065801,97,45,11,42,,
2019-06-30,0.1591977466977467,26,12,2,12,0.06759152319804625,111,50,24,37,,
2019-07-01,0.05372053872053873,90,29,6,56,0.08110959860116795,552,252,100,202,-2.62,1045600.0
2019-07-02,0.02502818362193363,168,33,11,126,0.12184699385736027,1376,678,176,538,10.35,4942100.0
2019-07-03,0.10555120904851352,371,145,58,174,0.09312516521784688,994,510,166,334,-1.8,-7135400.0
2019-07-04,0.053911845730027524,77,22,7,48,0.09980882290125519,536,288,92,162,,
2019-07-05,-0.017536844967998146,166,28,72,66,0.09736754937869381,612,292,116,214,-2.76,-1185200.0
2019-07-06,0.028520896995161665,68,20,32,22,0.09038748314519704,334,168,50,116,,
2019-07-07,0.0789983164983165,36,11,6,19,0.11377826178816547,178,92,16,72,,
2019-07-08,0.07016291061879298,85,29,9,51,0.08616045336265388,768,396,150,228,-0.28,310300.0
2019-07-09,0.11010352442170628,66,28,5,33,0.08765491342487997,822,404,166,260,8.86,2954900.0
2019-07-10,0.07985795454545455,168,55,20,96,0.06269321264589969,790,338,152,306,-0.32,-1631300.0
2019-07-11,0.035992528376549,97,22,5,70,0.10589217864698505,564,282,102,186,6.48,1686100.0
2019-07-12,0.05409744526680011,93,34,13,49,0.1403607104452478,734,442,72,228,8.42,1799600.0
2019-07-13,0.07915804002760524,69,18,3,52,0.09679396801372214,340,192,52,100,,
2019-07-14,0.018914956011730204,31,5,1,25,0.07997177878140509,294,150,54,92,,
2019-07-15,0.027343709993709987,125,29,15,81,0.09788532210057475,778,356,104,320,-1.12,-2851100.0
2019-07-16,0.012494775339602927,145,16,7,122,0.07894452757819774,1036,520,154,374,2.48,1615700.0
2019-07-17,0.04347340790522608,143,38,6,99,0.09365044239225413,772,370,116,290,-1.32,-5006100.0
2019-07-18,0.07369962079264411,129,52,12,66,0.09559807458482335,748,362,114,278,4.64,2289800.0
2019-07-19,0.10508367254635914,67,28,2,37,0.09412323323761686,562,242,76,252,-2.5,-206000.0
2019-07-20,-0.005685314685314686,65,24,9,32,0.07347758467424854,378,168,86,128,,
2019-07-21,-0.0062794612794612745,45,13,7,25,0.10912793031165634,194,90,30,74,,
2019-07-22,0.02097433666811662,209,41,55,116,0.08257950532889177,488,216,84,194,4.49,-1819300.0
2019-07-23,0.07390254329004328,100,27,8,65,0.08239205668657562,830,378,132,330,4.71,6049700.0
2019-07-24,0.06985424777877611,212,54,8,156,0.07504409564752433,2468,1036,458,1006,-36.06,11345500.0
2019-07-25,-0.04576022481004023,271,55,66,152,0.08961931213871252,1718,862,274,598,-0.78,-12390600.0
2019-07-26,0.027171389216843776,220,63,21,137,0.07499626029647072,1014,526,162,332,7.73,-754400.0
2019-07-27,-0.04109815886924321,83,14,25,45,0.08225072235013066,382,186,68,134,,
2019-07-28,0.0705487012987013,50,17,8,25,0.0636124131622813,394,180,82,142,,
2019-07-29,0.07297048449009232,102,28,9,65,0.061724248295067015,646,310,128,216,6.49,-1164300.0
2019-07-30,0.05258413361861637,87,27,15,45,0.06798100208189799,636,266,122,256,-0.65,1069200.0
2019-07-31,-0.03900512044644699,98,15,35,48,0.0632077388739749,386,172,74,146,-7.76,-918700.0
